Time (s),"Trial 1 (test, no added mass)",Trial 2 ,Trial 3,Trial 4,Trial 5,Trial 6
0.352,-0.7079810648,-1.361137396,0.03968731759,-0.09242048023,-0.8188182567,-0.1202482421
0.356,-0.6466310039,-1.32432736,0.05195732977,-0.09242048023,-0.775873214,-0.09570821773
0.36,-0.5546059126,-1.281382317,0.05809233586,-0.07401546196,-0.7329281714,-0.07730319945
0.364,-0.5055258638,-1.24457228,0.05809233586,-0.05561044369,-0.7451981836,-0.07730319945
0.368,-0.3950957542,-1.201627238,0.07036234804,-0.06788045587,-0.708388147,-0.05889818118
0.372,-0.2969356568,-1.146412183,0.08876736632,-0.09242048023,-0.6961181348,-0.01595313855
0.376,-0.2601256202,-1.085062122,0.08263236023,-0.1353655229,-0.6961181348,0.03312691018
0.38,-0.4564458151,-1.029847067,0.07649735413,-0.1599055472,-0.6777131166,0.06380194063
0.384,-0.6159559735,-0.9807670186,0.09490237241,-0.1537705411,-0.5979580374,0.06380194063
0.388,-0.5914159491,-0.9194169577,0.1010373785,-0.1169605046,-0.5611480009,0.04539692236
0.392,-0.450310809,-0.8580668968,0.09490237241,-0.08628547414,-0.5366079765,-0.009818132457
0.396,-0.3276106872,-0.802851842,0.08876736632,-0.03720542542,-0.5182029582,-0.05889818118
0.4,-0.3276106872,-0.7660418054,0.1010373785,0.0180096294,-0.4813929217,-0.05889818118
0.404,-0.3644207238,-0.7476367871,0.1071723846,0.07322468422,-0.4507178912,-0.03435815682
0.408,-0.3521507116,-0.7230967628,0.08876736632,0.09776470858,-0.4261778669,-0.046628169
0.412,-0.2969356568,-0.667881708,0.08263236023,0.1100347208,-0.438447879,-0.05889818118
0.416,-0.2662606263,-0.6249366653,0.08876736632,0.1345747451,-0.370962812,-0.02208814464
0.42,-0.247855608,-0.6188016592,0.08876736632,0.1468447573,-0.2543976963,0.02699190409
0.424,-0.2294505898,-0.667881708,0.08876736632,0.1468447573,-0.2053176476,0.05766693454
0.428,-0.2355855959,-0.6862867262,0.08876736632,0.1345747451,-0.229857672,0.09447697108
0.432,-0.2294505898,-0.5635866044,0.08876736632,0.128439739,-0.2912077329,0.1374220137
0.436,-0.2110455715,-0.4838315252,0.08876736632,0.1223047329,-0.3280177694,0.155827032
0.44,-0.180370541,-0.4715615131,0.09490237241,0.1100347208,-0.3464227877,0.1619620381
0.444,-0.1742355349,-0.4715615131,0.09490237241,0.1100347208,-0.370962812,0.1619620381
0.448,-0.1619655228,-0.4408864826,0.08263236023,0.1223047329,-0.364827806,0.1680970442
0.452,-0.1619655228,-0.4224814643,0.08876736632,0.128439739,-0.3341527755,0.155827032
0.456,-0.1312904923,-0.4408864826,0.1010373785,0.1345747451,-0.2789377207,0.1435570198
0.46,-0.1251554862,-0.4715615131,0.08876736632,0.128439739,-0.2605327024,0.1251520015
0.464,-0.112885474,-0.4408864826,0.08876736632,0.1407097512,-0.2789377207,0.1128819894
0.468,-0.1006154619,-0.3918064339,0.08876736632,0.1468447573,-0.2912077329,0.1128819894
0.472,-0.1496955106,-0.3611314034,0.09490237241,0.1468447573,-0.2605327024,0.1128819894
0.476,-0.2233155837,-0.3181863608,0.08263236023,0.1468447573,-0.1930476354,0.1128819894
0.48,-0.2294505898,-0.2813763243,0.07649735413,0.1407097512,-0.1562375989,0.1128819894
0.484,-0.1681005289,-0.262971306,0.08263236023,0.1468447573,-0.1255625684,0.1251520015
0.488,-0.1067504679,-0.2507012938,0.08876736632,0.1407097512,-0.1316975745,0.1435570198
0.492,-0.1006154619,-0.2322962755,0.08263236023,0.1407097512,-0.1439675867,0.1496920259
0.496,-0.08221044359,-0.2384312816,0.07649735413,0.1345747451,-0.1316975745,0.155827032
0.5,-0.06380542531,-0.2445662877,0.07649735413,0.1407097512,-0.09488753796,0.1680970442
0.504,-0.06380542531,-0.2261612694,0.08876736632,0.1407097512,-0.07648251969,0.1803670564
0.508,-0.04540040704,-0.1832162268,0.08263236023,0.1223047329,-0.05807750142,0.1803670564
0.512,-0.02699538877,-0.1402711842,0.08263236023,0.1223047329,-0.03967248315,0.1742320503
0.516,-0.02699538877,-0.1464061903,0.08263236023,0.1223047329,-0.01513245878,0.1742320503
0.52,-0.01472537659,-0.1402711842,0.09490237241,0.128439739,-0.03353747706,0.1803670564
0.524,-0.008590370498,-0.1218661659,0.08876736632,0.1223047329,-0.03353747706,0.1619620381
0.528,0.003679641683,-0.1157311598,0.09490237241,0.1100347208,-0.02740247096,0.1496920259
0.532,0.009814647774,-0.1218661659,0.09490237241,0.1223047329,-0.02740247096,0.1374220137
0.536,0.009814647774,-0.1525411963,0.09490237241,0.128439739,-0.01513245878,0.1374220137
0.54,-0.002455364408,-0.1402711842,0.09490237241,0.1223047329,-0.02126746487,0.1374220137
0.544,0.003679641683,-0.09119113544,0.09490237241,0.1223047329,-0.01513245878,0.1312870076
0.548,0.009814647774,-0.08505612935,0.08876736632,0.1223047329,-0.008997452692,0.1312870076
0.552,0.009814647774,-0.1157311598,0.09490237241,0.128439739,-0.008997452692,0.1374220137
0.556,0.009814647774,-0.1034611476,0.09490237241,0.1223047329,-0.008997452692,0.1496920259
0.56,0.009814647774,-0.0543810989,0.08876736632,0.128439739,-0.008997452692,0.1496920259
0.564,0.009814647774,-0.06051610499,0.08876736632,0.128439739,-0.002862446602,0.1496920259
0.568,0.01594965386,-0.09119113544,0.08876736632,0.1407097512,-0.002862446602,0.1619620381
0.572,0.009814647774,-0.1034611476,0.09490237241,0.1345747451,-0.002862446602,0.1742320503
0.576,0.01594965386,-0.1095961537,0.08876736632,0.1345747451,-0.002862446602,0.1742320503
0.58,0.02208465996,-0.128001172,0.07649735413,0.1345747451,-0.002862446602,0.1619620381
0.584,0.009814647774,-0.128001172,0.08263236023,0.1345747451,-0.008997452692,0.1742320503
0.588,0.01594965386,-0.1218661659,0.08263236023,0.1345747451,-0.008997452692,0.1803670564
0.592,0.01594965386,-0.08505612935,0.08263236023,0.128439739,-0.01513245878,0.1619620381
0.596,0.01594965386,-0.03597608063,0.08263236023,0.1223047329,-0.002862446602,0.1619620381
0.6,0.009814647774,-0.005301050173,0.08876736632,0.128439739,-0.002862446602,0.155827032
0.604,0.01594965386,0.006968962009,0.09490237241,0.1407097512,0.003272559489,0.155827032
0.608,0.01594965386,0.0131039681,0.08876736632,0.128439739,-0.008997452692,0.1496920259
0.612,0.01594965386,0.02537398028,0.08876736632,0.128439739,0.003272559489,0.1435570198
0.616,0.01594965386,0.02537398028,0.08876736632,0.1345747451,0.003272559489,0.1496920259
0.62,0.009814647774,0.0131039681,0.09490237241,0.1345747451,-0.002862446602,0.155827032
0.624,0.009814647774,0.0131039681,0.1010373785,0.1223047329,-0.008997452692,0.155827032
0.628,0.01594965386,0.03150898637,0.08876736632,0.1223047329,-0.002862446602,0.155827032
0.632,0.02208465996,0.04377899855,0.08876736632,0.128439739,0.003272559489,0.155827032
0.636,0.01594965386,0.04991400464,0.08876736632,0.1407097512,-0.002862446602,0.1619620381
0.64,0.009814647774,0.06831902292,0.08876736632,0.1345747451,-0.002862446602,0.155827032
0.644,0.01594965386,0.09285904728,0.08876736632,0.128439739,0.003272559489,0.1619620381
0.648,0.01594965386,0.1112640656,0.08263236023,0.1345747451,0.00940756558,0.1619620381
0.652,0.01594965386,0.1112640656,0.08876736632,0.1407097512,0.003272559489,0.1680970442
0.656,0.009814647774,0.09899405337,0.08876736632,0.1407097512,0.003272559489,0.1619620381
0.66,0.009814647774,0.1051290595,0.08876736632,0.1345747451,0.003272559489,0.155827032
0.664,0.009814647774,0.1173990716,0.07649735413,0.1407097512,0.003272559489,0.1619620381
0.668,0.01594965386,0.1112640656,0.08263236023,0.1407097512,0.003272559489,0.1680970442
0.672,0.009814647774,0.1112640656,0.08876736632,0.1345747451,-0.002862446602,0.1619620381
0.676,0.009814647774,0.1173990716,0.08263236023,0.1223047329,-0.002862446602,0.1496920259
0.68,0.01594965386,0.1173990716,0.08263236023,0.1223047329,0.003272559489,0.1496920259
0.684,0.009814647774,0.1235340777,0.08876736632,0.1345747451,0.003272559489,0.1496920259
0.688,0.003679641683,0.1173990716,0.09490237241,0.1345747451,0.003272559489,0.1619620381
0.692,0.009814647774,0.1173990716,0.08876736632,0.1345747451,-0.002862446602,0.1496920259
0.696,0.009814647774,0.1358040899,0.08263236023,0.1345747451,0.003272559489,0.1496920259
0.7,0.003679641683,0.1296690838,0.08263236023,0.1345747451,0.003272559489,0.155827032
0.704,0.003679641683,0.1235340777,0.09490237241,0.1407097512,-0.002862446602,0.1619620381
0.708,0.009814647774,0.1358040899,0.08263236023,0.1345747451,-0.002862446602,0.155827032
0.712,0.01594965386,0.1358040899,0.08263236023,0.128439739,-0.008997452692,0.155827032
0.716,0.009814647774,0.1358040899,0.08876736632,0.1345747451,-0.002862446602,0.1619620381
0.72,0.003679641683,0.1235340777,0.09490237241,0.1407097512,-0.008997452692,0.1619620381
0.724,0.01594965386,0.1173990716,0.08263236023,0.1345747451,-0.008997452692,0.1680970442
0.728,0.02208465996,0.1173990716,0.08263236023,0.1345747451,-0.002862446602,0.155827032
0.732,0.009814647774,0.1235340777,0.08876736632,0.1407097512,-0.002862446602,0.155827032
0.736,-0.002455364408,0.1235340777,0.08263236023,0.1468447573,-0.002862446602,0.155827032
0.74,0.003679641683,0.1173990716,0.08876736632,0.1345747451,-0.008997452692,0.1496920259
0.744,0.003679641683,0.1235340777,0.08263236023,0.128439739,-0.008997452692,0.1435570198
0.748,0.009814647774,0.1296690838,0.08263236023,0.128439739,-0.002862446602,0.1435570198
0.752,0.009814647774,0.1235340777,0.08876736632,0.128439739,-0.002862446602,0.1496920259
0.756,0.003679641683,0.1235340777,0.09490237241,0.1223047329,-0.002862446602,0.1496920259
0.76,0.003679641683,0.1235340777,0.08876736632,0.1161697269,-0.008997452692,0.1496920259
0.764,0.009814647774,0.1296690838,0.08263236023,0.1223047329,-0.002862446602,0.1374220137
0.768,0.009814647774,0.1296690838,0.08876736632,0.128439739,-0.002862446602,0.155827032
0.772,0.003679641683,0.1235340777,0.1010373785,0.1223047329,-0.002862446602,0.1496920259
0.776,0.009814647774,0.1296690838,0.09490237241,0.1223047329,-0.002862446602,0.155827032
0.78,0.009814647774,0.1358040899,0.08876736632,0.1223047329,0.003272559489,0.1496920259
0.784,0.003679641683,0.1235340777,0.09490237241,0.1345747451,-0.002862446602,0.155827032
0.788,-0.002455364408,0.1173990716,0.1010373785,0.1345747451,-0.002862446602,0.1680970442
0.792,0.009814647774,0.1235340777,0.09490237241,0.128439739,-0.008997452692,0.155827032
0.796,0.009814647774,0.1296690838,0.08263236023,0.128439739,-0.008997452692,0.155827032
0.8,0.009814647774,0.1235340777,0.08876736632,0.1345747451,-0.008997452692,0.1496920259
0.804,0.003679641683,0.1235340777,0.09490237241,0.1345747451,-0.008997452692,0.1496920259
0.808,0.009814647774,0.1235340777,0.08876736632,0.1345747451,-0.008997452692,0.1435570198
0.812,0.01594965386,0.1296690838,0.07649735413,0.1223047329,-0.002862446602,0.1374220137
0.816,0.009814647774,0.1296690838,0.08876736632,0.128439739,0.003272559489,0.1435570198
0.82,0.003679641683,0.1296690838,0.1010373785,0.1345747451,-0.002862446602,0.1496920259
0.824,0.003679641683,0.1358040899,0.08876736632,0.128439739,-0.01513245878,0.1496920259
0.828,0.02208465996,0.1358040899,0.08876736632,0.1161697269,-0.002862446602,0.1496920259
0.832,0.009814647774,0.141939096,0.08876736632,0.1223047329,-0.002862446602,0.155827032
0.836,0.009814647774,0.1296690838,0.08876736632,0.1345747451,-0.01513245878,0.155827032
0.84,0.009814647774,0.1296690838,0.08876736632,0.128439739,-0.01513245878,0.155827032
